query,precision,recall,f1,traceability_completeness,hallucination_resistance,latency,accuracy
1,N/A,N/A,N/A,0.000,1.000,0.010,0.000
2,N/A,N/A,N/A,0.000,1.000,0.010,1.000
3,N/A,N/A,N/A,0.000,0.000,0.010,0.000
4,N/A,N/A,N/A,0.000,1.000,0.000,1.000
5,N/A,N/A,N/A,0.000,0.000,0.330,0.000
6,N/A,N/A,N/A,0.000,0.000,0.140,0.000
7,N/A,N/A,N/A,0.000,0.000,0.410,0.000
8,N/A,N/A,N/A,0.000,0.000,0.370,0.000
9,N/A,N/A,N/A,0.000,1.000,0.000,1.000
10,N/A,N/A,N/A,0.000,1.000,0.010,1.000
11,N/A,N/A,N/A,0.000,1.000,0.010,1.000
12,N/A,N/A,N/A,0.000,1.000,0.010,1.000
13,N/A,N/A,N/A,0.000,1.000,0.010,1.000
14,N/A,N/A,N/A,0.000,1.000,0.010,1.000
15,N/A,N/A,N/A,0.000,1.000,0.010,1.000
16,N/A,N/A,N/A,0.000,0.000,0.010,0.000
17,N/A,N/A,N/A,0.000,0.000,0.010,0.000
18,N/A,N/A,N/A,0.000,0.000,0.000,0.000
19,N/A,N/A,N/A,0.000,0.000,0.010,0.000
20,N/A,N/A,N/A,0.000,0.000,0.000,0.000
21,N/A,N/A,N/A,0.000,0.000,0.010,0.000
22,N/A,N/A,N/A,0.000,0.000,0.010,0.000
23,N/A,N/A,N/A,0.000,1.000,0.000,1.000
24,N/A,N/A,N/A,0.000,0.000,0.000,0.000
25,0.000,0.000,0.000,1.000,1.000,0.310,1.000
26,0.000,0.000,0.000,1.000,1.000,0.310,1.000
27,1.000,1.000,1.000,1.000,1.000,0.000,1.000
28,1.000,1.000,1.000,1.000,1.000,0.000,1.000
29,1.000,1.000,1.000,1.000,1.000,0.000,1.000
30,1.000,1.000,1.000,1.000,1.000,0.000,1.000
31,1.000,1.000,1.000,1.000,1.000,0.000,1.000
32,1.000,1.000,1.000,1.000,1.000,0.000,1.000
